"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Population 25 Years and over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree","Median Household Income in 2018 Dollars [Dollars adjusted for inflation to match value in 2018]","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2018]"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,SE_T038_001,SE_T038_002,SE_T038_003,SE_T038_004,SE_T038_005,SE_T038_006,SE_T038_007,SE_T038_008,SE_T091_001,RC2000SF3_RC2000SF3_025_H085001
"11001009508","Census Tract 95.08","Census Tract 95.08, District of Columbia, District of Columbia","00","11","001","009508",2777,2753,0,2711,0,0,0,12,30,24,9,0,0,0,0,9,6,2138,317,587,777,270,122,39,26,63455.6238757155,199303.044681692
"11001009509","Census Tract 95.09","Census Tract 95.09, District of Columbia, District of Columbia","00","11","001","009509",2940,2777,22,2728,5,11,0,0,11,163,0,17,0,0,0,146,0,2203,553,573,624,288,101,45,19,81463.341782502,182779.754843812
"11001009601","Census Tract 96.01","Census Tract 96.01, District of Columbia, District of Columbia","00","11","001","009601",2374,2352,10,2273,0,29,0,0,40,22,0,10,0,0,0,6,6,1267,392,407,279,143,34,12,0,49242.6647587899,178100.59311981
"11001009602","Census Tract 96.02","Census Tract 96.02, District of Columbia, District of Columbia","00","11","001","009602",3075,3059,0,3038,9,0,0,0,12,16,0,7,0,0,0,9,0,1646,578,663,252,120,27,6,0,32876.8225674571,187751.364175563
"11001009603","Census Tract 96.03","Census Tract 96.03, District of Columbia, District of Columbia","00","11","001","009603",3230,3230,13,3174,0,12,0,8,23,0,0,0,0,0,0,0,0,2317,517,796,654,203,108,25,14,48225.1856091578,143299.327797548
"11001009604","Census Tract 96.04","Census Tract 96.04, District of Columbia, District of Columbia","00","11","001","009604",1994,1975,16,1923,11,9,0,12,4,19,0,0,0,0,0,19,0,1484,466,529,348,92,32,17,0,49395.3622240393,134525.899565045
"11001009700","Census Tract 97","Census Tract 97, District of Columbia, District of Columbia","00","11","001","009700",2297,2204,0,2163,0,0,0,0,41,93,0,0,0,0,0,93,0,1295,383,484,364,50,14,0,0,50021.2706459526,144030.446816924
"11001009801","Census Tract 98.01","Census Tract 98.01, District of Columbia, District of Columbia","00","11","001","009801",2098,2081,0,2081,0,0,0,0,0,17,0,0,0,0,0,17,0,925,388,354,154,22,0,7,0,24567.6614881439,128384.499802293
"11001009802","Census Tract 98.02","Census Tract 98.02, District of Columbia, District of Columbia","00","11","001","009802",1799,1799,0,1768,0,20,0,0,11,0,0,0,0,0,0,0,0,917,331,345,216,0,25,0,0,39113.2289452167,126044.918940293
"11001009803","Census Tract 98.03","Census Tract 98.03, District of Columbia, District of Columbia","00","11","001","009803",2247,2231,58,2114,0,6,0,23,30,16,0,0,0,0,0,16,0,1370,358,542,317,105,33,0,15,35214.1520850368,147101.1466983
"11001009804","Census Tract 98.04","Census Tract 98.04, District of Columbia, District of Columbia","00","11","001","009804",2555,2547,13,2534,0,0,0,0,0,8,0,0,0,0,0,0,8,1370,407,476,386,90,11,0,0,34075.7244480785,147539.818109925
"11001009807","Census Tract 98.07","Census Tract 98.07, District of Columbia, District of Columbia","00","11","001","009807",3242,3218,74,2976,37,40,0,0,91,24,0,24,0,0,0,0,0,2134,574,879,475,124,68,14,0,45470.5838103025,144615.342032424
"11001009810","Census Tract 98.10","Census Tract 98.10, District of Columbia, District of Columbia","00","11","001","009810",2209,2190.05934767989,12.6271015467384,2155.52051109617,0,18.5692669804977,0,0,3.34246805648958,18.9406523201076,2.97108271687962,0,0,0,0,15.969569603228,0,1192.51832548756,485.400638870209,407.409717552118,224.316745124412,49.7656355077337,11.1415601882986,14.4840282447882,0,11323.3911186401,53490.7964052765
"11001009811","Census Tract 98.11","Census Tract 98.11, District of Columbia, District of Columbia","00","11","001","009811",3739,3706.94065232011,21.3728984532616,3648.47948890383,0,31.4307330195023,0,0,5.65753194351042,32.0593476798924,5.02891728312038,0,0,0,0,27.030430396772,0,2018.48167451244,821.599361129791,689.590282447882,379.683254875588,84.2343644922663,18.8584398117014,24.5159717552118,0,19166.2106802152,90539.6504116472
"11001009901","Census Tract 99.01","Census Tract 99.01, District of Columbia, District of Columbia","00","11","001","009901",2300,2267,112,2122,0,0,0,0,33,33,0,5,0,0,0,28,0,1861,244,506,515,309,243,24,20,92486.2845461979,241707.947805457
"11001009902","Census Tract 99.02","Census Tract 99.02, District of Columbia, District of Columbia","00","11","001","009902",2912,2886,51,2756,5,0,0,0,74,26,0,21,0,0,0,0,5,2118,486,689,650,177,103,13,0,62206.830744072,161577.30328193
"11001009903","Census Tract 99.03","Census Tract 99.03, District of Columbia, District of Columbia","00","11","001","009903",2164,2148,0,2121,5,14,0,0,8,16,0,0,0,0,0,0,16,1301,558,355,269,68,38,0,13,28941.4611610793,149440.727560301
"11001009904","Census Tract 99.04","Census Tract 99.04, District of Columbia, District of Columbia","00","11","001","009904",1831,1822,0,1790,0,32,0,0,0,9,0,0,0,0,0,9,0,1111,384,462,222,27,16,0,0,40434.5911692559,184680.664294187
"11001009905","Census Tract 99.05","Census Tract 99.05, District of Columbia, District of Columbia","00","11","001","009905",2681,2681,0,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,607,555,295,51,7,0,0,38972.6263286999,131016.528272044
"11001009906","Census Tract 99.06","Census Tract 99.06, District of Columbia, District of Columbia","00","11","001","009906",1516,1511,0,1476,9,0,0,0,26,5,0,0,0,0,0,0,5,953,313,327,250,50,13,0,0,36975.4644317253,126922.261763543
"11001009907","Census Tract 99.07","Census Tract 99.07, District of Columbia, District of Columbia","00","11","001","009907",3092,3084,6,3052,0,13,13,0,0,8,0,8,0,0,0,0,0,1634,465,661,416,81,0,11,0,30503.2085036795,137304.151838671
"11001010100","Census Tract 101","Census Tract 101, District of Columbia, District of Columbia","00","11","001","010100",1592,1354,716,395,0,153,0,7,83,238,66,28,7,0,0,122,15,1274,154,157,277,419,204,55,8,98326.584627964,406648.398576512
"11001010200","Census Tract 102","Census Tract 102, District of Columbia, District of Columbia","00","11","001","010200",2362,2282,816,1314,10,56,0,26,60,80,24,10,0,0,0,36,10,1952,106,186,369,594,381,180,136,163209.400654129,273438.513246342
"11001010300","Census Tract 103","Census Tract 103, District of Columbia, District of Columbia","00","11","001","010300",3660,3231,619,2485,16,40,0,6,65,429,172,15,0,0,0,175,67,2584,462,466,596,536,267,189,68,136068.560098119,268028.232502966
"11001010400","Census Tract 104","Census Tract 104, District of Columbia, District of Columbia","00","11","001","010400",3973.27768831634,3944.16515214633,157.696454865591,3709.37788718259,8.00952041351492,0.0468697280734518,0,27,42.0344199565539,29.1125361700097,8.04418448323591,0.0109850925172153,0.00122056583524614,0.00146467900229537,0.00414992383983688,17.0449168227371,4.00561460284213,2674.59905371194,1089.02782890104,787.084951382133,528.270721502258,173.123521262527,84.0790926661239,13.009764526682,0.00317347117163997,49593.4022596957,141724.776352992
"11001010500","Census Tract 105","Census Tract 105, District of Columbia, District of Columbia","00","11","001","010500",3422,3273,723,2229,19,50,0,14,238,149,18,30,0,0,0,101,0,2489,391,418,512,572,487,93,16,82152.7481602617,232495.848161329
"11001010600","Census Tract 106","Census Tract 106, District of Columbia, District of Columbia","00","11","001","010600",3298,3166,123,3035,0,8,0,0,0,132,36,7,5,0,0,55,29,2090,699,646,412,230,67,29,7,142076.676206051,297419.217081851
"11001010700","Census Tract 107","Census Tract 107, District of Columbia, District of Columbia","00","11","001","010700",1589,1467,1168,59,0,186,0,20,34,122,58,30,0,0,0,11,23,983,29,35,85,306,283,166,79,160732.980376124,567933.254250692
"11001010800","Census Tract 108.00","Census Tract 108.00, District of Columbia, District of Columbia","00","11","001","010800",4290,4109,3147,171,0,700,23,8,60,181,40,54,0,0,0,87,0,733,28,51,113,314,140,79,8,14497.1880621423,82031.5539739027
"11001010900","Census Tract 109","Census Tract 109, District of Columbia, District of Columbia","00","11","001","010900",2858,2840,51,2747,14,0,0,0,28,18,0,0,0,0,0,9,9,1445,427,560,379,65,14,0,0,38866.7964022895,102064.215104785
"11001011000","Census Tract 110","Census Tract 110, District of Columbia, District of Columbia","00","11","001","011000",3834.26143765993,3633.26143765993,1278.26143765993,2076,0,84,0,26,169,201,112,11,0,42,0,16,20,3175.6339867328,472,309,515.677124136844,683.751633951419,909.20522864454,143,143,166779.943907363,129700.514037169
"11001011100","Census Tract 111","Census Tract 111, District of Columbia, District of Columbia","00","11","001","011100",4827,4718,131,4495,0,36,0,0,56,109,14,95,0,0,0,0,0,3524,968,1091,712,534,144,58,17,58741.656582175,198133.254250692
