"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Population 25 Years and over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree","Median Household Income in 2018 Dollars [Dollars adjusted for inflation to match value in 2018]","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2018]"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,SE_T038_001,SE_T038_002,SE_T038_003,SE_T038_004,SE_T038_005,SE_T038_006,SE_T038_007,SE_T038_008,SE_T091_001,RC2000SF3_RC2000SF3_025_H085001
"11001007403","Census Tract 74.03","Census Tract 74.03, District of Columbia, District of Columbia","00","11","001","007403",2304,2288,0,2237,0,0,0,0,51,16,0,0,0,0,0,16,0,1115,467,449,162,37,0,0,0,43987.4529844644,102941.557928035
"11001007404","Census Tract 74.04","Census Tract 74.04, District of Columbia, District of Columbia","00","11","001","007404",3318,3312,0,3298,14,0,0,0,0,6,0,6,0,0,0,0,0,1448,790,454,204,0,0,0,0,14140.3900245298,124582.680901542
"11001007406","Census Tract 74.06","Census Tract 74.06, District of Columbia, District of Columbia","00","11","001","007406",3148,3148,0,3132,0,0,0,0,16,0,0,0,0,0,0,0,0,1239,497,544,168,30,0,0,0,24003.7391659853,130724.080664294
"11001007407","Census Tract 74.07","Census Tract 74.07, District of Columbia, District of Columbia","00","11","001","007407",2452,2452,20,2378,0,24,0,0,30,0,0,0,0,0,0,0,0,1441,538,526,288,49,25,15,0,50080.2330335241,126191.142744168
"11001007408","Census Tract 74.08","Census Tract 74.08, District of Columbia, District of Columbia","00","11","001","007408",2174,2174,0,2152,0,0,0,0,22,0,0,0,0,0,0,0,0,1093,412,419,191,62,9,0,0,29587.0237121832,149440.727560301
"11001007409","Census Tract 74.09","Census Tract 74.09, District of Columbia, District of Columbia","00","11","001","007409",3436,3388,7,3316,0,16,0,0,49,48,0,21,0,0,0,27,0,1695,616,663,362,46,8,0,0,25473.2632869992,133502.33293792
"11001007502","Census Tract 75.02","Census Tract 75.02, District of Columbia, District of Columbia","00","11","001","007502",4221,4206,39,4128,6,17,5,0,11,15,0,11,0,0,0,0,4,2332,777,852,557,117,23,6,0,30161.5290269828,184680.664294187
"11001007503","Census Tract 75.03","Census Tract 75.03, District of Columbia, District of Columbia","00","11","001","007503",2699,2681,35,2597,0,0,0,0,49,18,0,0,8,10,0,0,0,1456,502,616,283,24,31,0,0,32356.7440719542,145054.013444049
"11001007504","Census Tract 75.04","Census Tract 75.04, District of Columbia, District of Columbia","00","11","001","007504",2174,2174,65,2082,12,6,0,0,9,0,0,0,0,0,0,0,0,1164,353,470,234,70,14,23,0,34402.2853638594,134818.347172796
"11001007601","Census Tract 76.01","Census Tract 76.01, District of Columbia, District of Columbia","00","11","001","007601",4572,4511,64,4305,35,10,0,0,97,61,52,0,0,0,0,0,9,2998,971,1082,696,120,103,19,7,49785.4210956664,148124.713325425
"11001007603","Census Tract 76.03","Census Tract 76.03, District of Columbia, District of Columbia","00","11","001","007603",4261,4153,208,3829,21,0,0,12,83,108,9,0,0,0,0,76,23,3074,612,803,784,477,324,27,47,49644.8184791496,197548.359035192
"11001007604","Census Tract 76.04","Census Tract 76.04, District of Columbia, District of Columbia","00","11","001","007604",3764,3756,177,3539,7,24,0,0,9,8,0,0,0,0,0,0,8,2635,441,910,721,299,197,37,30,54141.0784955029,237613.681296955
"11001007605","Census Tract 76.05","Census Tract 76.05, District of Columbia, District of Columbia","00","11","001","007605",3721,3711,8,3622,0,20,0,0,61,10,0,0,0,0,0,3,7,2498,573,929,690,241,47,10,8,49135.3229762878,155728.351126928
"11001007703","Census Tract 77.03","Census Tract 77.03, District of Columbia, District of Columbia","00","11","001","007703",4615,4484,25,4353,71,0,0,0,35,131,0,15,0,0,0,96,20,2610,979,932,476,135,49,39,0,38159.2477514309,137889.047054172
"11001007707","Census Tract 77.07","Census Tract 77.07, District of Columbia, District of Columbia","00","11","001","007707",3796,3796,27,3744,0,15,0,10,0,0,0,0,0,0,0,0,0,2451,644,888,587,219,90,23,0,50786.2698282911,152218.979833926
"11001007708","Census Tract 77.08","Census Tract 77.08, District of Columbia, District of Columbia","00","11","001","007708",2654,2654,0,2610,13,0,0,9,22,0,0,0,0,0,0,0,0,1641,414,737,451,11,28,0,0,38373.931316435,145492.684855674
"11001007709","Census Tract 77.09","Census Tract 77.09, District of Columbia, District of Columbia","00","11","001","007709",2031,2003,34,1951,0,0,0,0,18,28,0,0,0,0,0,22,6,1323,397,437,354,93,35,7,0,44345.7628781684,163185.765124555
"11001007803","Census Tract 78.03","Census Tract 78.03, District of Columbia, District of Columbia","00","11","001","007803",3092,3042,34,2997,0,5,0,0,6,50,0,0,0,0,0,32,18,2094,646,692,534,201,21,0,0,41266.1120196239,142860.656385923
"11001007804","Census Tract 78.04","Census Tract 78.04, District of Columbia, District of Columbia","00","11","001","007804",3390,3376,27,3312,9,8,0,0,20,14,0,9,0,0,0,5,0,2052,882,608,336,155,71,0,0,31945.519215045,136719.256623171
"11001007806","Census Tract 78.06","Census Tract 78.06, District of Columbia, District of Columbia","00","11","001","007806",2103,2091,0,2073,6,12,0,0,0,12,7,5,0,0,0,0,0,1484,361,580,409,87,41,0,6,48259.9582992641,134672.123368921
"11001007807","Census Tract 78.07","Census Tract 78.07, District of Columbia, District of Columbia","00","11","001","007807",1941,1918,12,1851,0,0,0,0,55,23,7,16,0,0,0,0,0,1182,428,492,179,71,12,0,0,51478.6999182339,158652.827204429
"11001007808","Census Tract 78.08","Census Tract 78.08, District of Columbia, District of Columbia","00","11","001","007808",4112,4086,41,4000,0,0,0,0,45,26,0,12,0,0,0,6,8,2217,773,852,431,127,34,0,0,36688.2117743254,128530.723606168
"11001007809","Census Tract 78.09","Census Tract 78.09, District of Columbia, District of Columbia","00","11","001","007809",2567,2555,17,2519,0,0,0,0,19,12,0,12,0,0,0,0,0,1872,608,620,460,157,16,11,0,43418.9950940311,121219.533412416
"11001007901","Census Tract 79.01","Census Tract 79.01, District of Columbia, District of Columbia","00","11","001","007901",3680,3642,21,3579,15,22,0,0,5,38,0,10,0,0,0,18,10,2285,801,833,506,100,24,13,8,36778.9231398201,156751.917754053
"11001007903","Census Tract 79.03","Census Tract 79.03, District of Columbia, District of Columbia","00","11","001","007903",1834,1834,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,414,466,252,139,5,11,7,54850.139002453,145200.237247924
"11001008001","Census Tract 80.01","Census Tract 80.01, District of Columbia, District of Columbia","00","11","001","008001",2650,2583,288,2225,18,14,0,0,38,67,27,0,4,0,0,33,3,1889,563,464,434,239,122,25,42,63420.8511856092,196086.120996441
"11001008002","Census Tract 80.02","Census Tract 80.02, District of Columbia, District of Columbia","00","11","001","008002",3097,3032,903,1995,0,20,13,8,93,65,47,5,0,0,0,13,0,2425,338,503,590,488,319,92,95,75630.6009811938,218750.810597074
"11001008100","Census Tract 81","Census Tract 81, District of Columbia, District of Columbia","00","11","001","008100",2462,2416,1418,853,7,78,0,11,49,46,35,5,0,0,0,6,0,1972,173,154,289,695,414,153,94,94856.8748977923,335583.629893238
"11001008200","Census Tract 82","Census Tract 82, District of Columbia, District of Columbia","00","11","001","008200",2543,2476,2240,158,0,32,9,0,37,67,54,13,0,0,0,0,0,2049,31,65,183,808,520,321,121,88101.9018806214,421124.555160142
"11001008301","Census Tract 83.01","Census Tract 83.01, District of Columbia, District of Columbia","00","11","001","008301",2311,2223,1232,836,22,82,0,23,28,88,74,0,0,0,0,14,0,1764,106,207,269,603,353,131,95,100614.022894522,324470.620798735
"11001008302","Census Tract 83.02","Census Tract 83.02, District of Columbia, District of Columbia","00","11","001","008302",1850,1788,1017,716,0,43,0,0,12,62,51,0,0,0,0,11,0,1574,247,127,206,463,291,145,95,102606.649223222,322715.935152234
"11001008402","Census Tract 84.02","Census Tract 84.02, District of Columbia, District of Columbia","00","11","001","008402",2200,2189,435,1657,0,49,0,8,40,11,6,0,0,0,0,0,5,1716,488,287,363,312,193,59,14,47599.2771872445,211147.172795571
